485	478	764	452	688	484	NaN	NaN	425	365	588	751	554	572	1927	1464	690	452	1297	636	522	389	762	605	588	NaN	371	319	327	374	NaN	NaN	261	887	623	516	305	NaN	NaN	259	561	NaN	723	402	
566	578	677	459	767	461	NaN	NaN	522	339	686	853	583	523	1482	1410	829	518	1059	718	442	381	778	585	568	NaN	378	276	321	266	NaN	NaN	377	984	652	618	340	NaN	NaN	185	430	NaN	870	503	
485	537	720	507	606	446	NaN	NaN	456	344	904	941	544	498	1425	1421	1022	559	1259	710	410	396	764	468	442	NaN	336	257	365	313	NaN	NaN	364	834	599	491	357	NaN	NaN	216	453	NaN	771	422	
394	526	818	572	411	355	NaN	NaN	460	260	904	922	565	510	1873	1533	863	427	1327	737	488	332	962	421	471	NaN	372	232	320	335	NaN	NaN	319	957	489	262	334	NaN	NaN	153	443	NaN	671	324	
406	519	845	588	529	483	NaN	NaN	455	322	1219	1132	577	508	2168	1403	971	423	1338	687	527	306	547	522	523	NaN	454	291	377	396	NaN	NaN	355	1010	471	441	355	NaN	NaN	214	441	NaN	609	335	
437	505	857	526	413	362	NaN	NaN	414	307	899	994	604	583	2777	1480	1047	428	1303	767	611	267	535	497	608	NaN	405	305	404	370	NaN	NaN	350	976	468	425	354	NaN	NaN	163	472	NaN	668	384	
392	401	689	409	399	392	NaN	NaN	349	228	586	700	502	393	1544	1203	898	393	1342	601	490	272	494	340	425	NaN	268	222	292	251	NaN	NaN	317	728	440	274	182	NaN	NaN	331	453	NaN	704	379	
421	370	839	490	554	511	NaN	NaN	485	321	608	741	533	353	1750	1378	1164	547	1586	689	595	278	454	402	516	NaN	297	197	321	277	NaN	NaN	304	616	488	372	246	NaN	NaN	266	584	NaN	657	389	
423	399	741	481	539	529	NaN	NaN	474	331	581	721	407	334	2043	1613	1162	684	1594	689	632	448	372	369	583	NaN	305	233	361	389	NaN	NaN	356	919	475	387	340	NaN	NaN	165	560	NaN	553	505	
391	430	770	478	406	392	NaN	NaN	310	194	839	827	430	415	2383	1715	764	395	1552	700	585	351	513	285	453	NaN	355	223	413	446	NaN	NaN	353	770	455	602	439	NaN	NaN	187	708	NaN	599	473	
352	395	862	549	462	463	NaN	NaN	401	251	546	644	365	438	1571	1369	1014	426	1467	602	490	234	481	334	545	NaN	219	291	260	341	NaN	NaN	311	873	324	431	336	NaN	NaN	255	468	NaN	532	256	
475	481	865	518	573	575	NaN	NaN	448	231	829	790	437	408	1438	1178	978	630	1413	762	853	305	452	421	564	NaN	315	199	346	322	NaN	NaN	355	774	279	432	291	NaN	NaN	19	359	NaN	485	284	
336	341	814	406	403	407	NaN	NaN	400	270	659	646	360	383	1215	853	1001	632	1177	654	703	323	431	379	483	NaN	232	278	239	261	NaN	NaN	242	621	272	319	204	NaN	NaN	245	310	NaN	368	198	
574	438	801	479	379	469	NaN	NaN	444	307	744	802	449	518	1206	699	1044	633	1162	762	688	278	418	405	572	NaN	354	244	297	253	NaN	NaN	311	628	454	471	216	NaN	NaN	247	370	NaN	445	417	
325	352	536	304	311	359	NaN	NaN	372	0	634	626	319	361	855	619	782	455	839	503	567	169	246	394	495	NaN	298	0	347	309	NaN	NaN	108	339	448	434	200	NaN	NaN	60	164	NaN	407	243	
330	385	583	301	383	441	NaN	NaN	383	163	528	543	354	409	1059	855	817	397	1297	483	483	268	338	316	504	NaN	361	254	369	318	NaN	NaN	342	576	493	448	352	NaN	NaN	263	407	NaN	483	289	
