550	292	592	234	484	360	370	978	486	428	1040	1680	502	786	1212	734	636	934	842	1390	1584	892	604	526	618	686	690	504	726	312	1320	778	1076	916	980	1050	674	614	486	2452	1140	508	364	
516	243	540	260	588	294	434	848	496	438	1270	1336	690	574	794	780	552	1060	618	1046	562	1126	582	630	606	582	718	552	952	352	1176	452	818	730	1362	1426	844	836	526	2512	1020	492	416	
634	281	740	334	796	348	550	808	584	496	1308	1620	1090	1048	1392	1068	676	1144	678	1080	832	952	796	624	692	594	726	662	1154	458	1446	504	940	804	1564	1342	998	932	600	3428	1164	740	546	
540	433	588	340	712	418	440	646	502	564	1456	1334	656	748	1618	1042	644	1214	1270	870	668	908	668	636	710	674	582	1158	854	346	1854	1378	2502	1252	1132	1042	1004	715	392	3888	1234	532	442	
522	309	456	216	938	406	504	978	614	708	1626	1728	616	848	1584	1064	580	1270	1192	782	894	1036	720	644	610	522	514	1974	862	486	1496	1104	2230	914	2054	1466	810	863	512	3740	1426	564	364	
632	385	598	308	924	458	608	1042	660	684	1518	2972	942	1062	1510	1410	652	1376	1024	1140	712	866	776	702	652	522	674	1104	906	434	1186	976	1620	888	1986	1324	946	860	504	2874	1224	490	348	
698	446	632	342	786	432	602	1110	550	636	1452	2502	900	932	1104	1350	688	1416	988	1072	840	988	704	670	700	502	754	990	982	460	1168	1704	1054	1048	1914	1130	886	865	514	2382	1168	564	442	
568	408	634	326	874	434	704	1172	606	690	1510	2108	1012	1040	1212	1296	798	1616	1148	1574	744	1144	966	818	796	670	924	922	1062	666	1224	1574	1038	1252	2078	1138	1020	1093	788	2860	1660	712	430	
462	528	708	464	814	480	816	1220	662	684	1150	1762	1162	1042	982	1262	848	1676	1046	1172	882	1264	1730	760	844	732	828	948	1128	580	1302	1894	1218	2138	1910	862	788	1589	856	2370	1592	646	528	
658	399	556	400	592	310	734	1018	658	652	1188	908	832	760	758	784	696	1410	808	622	632	1060	1122	650	620	396	582	876	746	466	832	1794	958	1288	1276	818	708	1400	730	2828	1204	560	316	
678	465	630	360	660	294	700	822	494	598	1424	1612	1208	810	554	1156	512	1654	950	778	624	1072	1080	578	528	448	498	822	758	414	784	2290	586	966	890	760	854	1320	576	2650	1054	486	266	
630	522	896	570	842	368	784	1234	534	710	1564	2300	1626	996	902	1336	592	1808	1412	992	716	790	848	726	616	370	502	790	748	480	842	1988	900	1076	856	856	1248	1561	746	2130	578	666	430	
600	543	708	590	758	246	622	1032	512	622	1216	1878	916	678	846	1040	558	1246	914	820	840	902	938	634	460	380	480	596	668	370	452	2340	708	846	812	694	938	1797	970	1750	664	682	462	
476	458	528	386	1032	56	610	1010	506	594	670	1480	628	500	640	1150	592	1396	884	674	634	1008	842	690	472	442	474	578	770	474	608	4388	660	974	1384	778	1006	3485	1716	2704	818	1092	380	
372	331	458	340	702	0	590	776	384	420	774	1186	582	478	530	712	498	1160	1014	730	594	1076	916	724	398	366	446	522	676	394	0	544	518	714	814	638	844	1839	954	1984	596	938	430	
272	0	302	234	554	0	448	624	360	450	926	1058	636	368	614	594	372	1144	1044	848	430	886	570	564	370	342	382	464	540	332	0	358	474	530	504	558	698	1243	958	1858	482	732	246	
