1039	1004	561	658	862	779	741	663	2034	1630	923	474	292	855	NaN	NaN	NaN	
848	737	578	795	789	666	460	540	1374	1324	952	553	251	694	NaN	NaN	NaN	
849	701	501	688	921	755	547	609	1559	1334	1192	460	262	579	NaN	NaN	NaN	
629	466	548	678	915	714	395	682	1335	1349	1258	592	270	519	NaN	NaN	NaN	
656	608	507	717	721	897	436	691	1710	1378	1216	498	216	807	NaN	NaN	NaN	
733	658	550	684	577	864	400	646	1430	1534	1761	530	219	657	NaN	NaN	NaN	
851	532	442	508	701	787	309	582	1166	1365	1615	449	245	490	NaN	NaN	NaN	
762	473	487	530	817	875	352	455	1220	1275	1681	505	258	521	NaN	NaN	NaN	
458	520	339	448	764	762	383	382	756	1458	1224	511	333	472	NaN	NaN	NaN	
376	473	378	430	793	746	480	329	673	1416	902	492	0	571	NaN	NaN	NaN	
365	397	345	435	621	530	329	310	600	1175	708	358	245	294	NaN	NaN	NaN	
552	588	520	595	846	574	332	494	913	1243	951	488	245	577	NaN	NaN	NaN	
588	561	533	578	721	604	380	546	1012	1271	919	460	382	572	NaN	NaN	NaN	
529	545	513	504	971	616	481	573	1057	1951	991	498	317	630	NaN	NaN	NaN	
274	536	166	438	963	458	378	289	699	2161	614	424	258	507	NaN	NaN	NaN	
532	1013	349	461	1224	521	532	496	1001	2571	801	407	76	681	NaN	NaN	NaN	
