312	1170	431	601	601	1776	537	919	881	1266	558	739	928	NaN	NaN	NaN	NaN
322	994	386	453	563	1768	646	748	792	1240	475	489	612	NaN	NaN	NaN	NaN
323	998	392	386	463	1728	662	696	698	1246	440	809	565	NaN	NaN	NaN	NaN
296	994	394	393	420	1810	628	1045	703	1065	610	995	878	NaN	NaN	NaN	NaN
360	826	490	355	500	1223	651	1217	757	1185	570	738	739	NaN	NaN	NaN	NaN
316	765	459	376	378	1172	666	980	959	1012	793	1046	748	NaN	NaN	NaN	NaN
286	1071	547	329	421	1378	614	894	845	881	695	1080	696	NaN	NaN	NaN	NaN
248	985	611	305	431	1361	627	919	689	879	684	746	540	NaN	NaN	NaN	NaN
331	659	568	396	394	1354	598	614	658	759	508	614	420	NaN	NaN	NaN	NaN
233	707	338	370	258	1143	580	667	583	729	497	371	448	NaN	NaN	NaN	NaN
227	598	0	284	214	1124	268	654	505	537	415	519	120	NaN	NaN	NaN	NaN
308	582	183	278	593	1039	428	710	548	570	554	455	369	NaN	NaN	NaN	NaN
362	774	232	272	558	1072	555	724	667	743	542	912	464	NaN	NaN	NaN	NaN
467	854	192	332	635	1124	710	826	850	823	626	1199	583	NaN	NaN	NaN	NaN
387	836	302	353	588	1639	653	893	864	573	826	863	863	NaN	NaN	NaN	NaN
309	883	327	377	507	1489	492	869	916	710	769	884	769	NaN	NaN	NaN	NaN
