NaN	514	613	NaN	NaN	308	658	888	NaN	932	684	1303	542	429	1386	801	507	719	345	1081	
NaN	500	651	NaN	NaN	277	700	684	NaN	706	895	770	492	424	1008	698	569	711	331	950	
NaN	521	930	NaN	NaN	408	976	824	NaN	993	932	847	603	404	1052	732	726	862	377	1091	
NaN	563	745	NaN	NaN	281	831	939	NaN	914	871	875	437	347	1060	705	523	820	366	897	
NaN	520	676	NaN	NaN	307	804	990	NaN	1758	729	684	463	361	678	845	546	991	493	1020	
NaN	522	801	NaN	NaN	337	799	1056	NaN	2255	745	866	675	510	695	1397	591	1099	585	1091	
NaN	482	959	NaN	NaN	311	977	936	NaN	1849	1051	777	870	649	871	1189	560	920	531	896	
NaN	452	980	NaN	NaN	313	1229	819	NaN	1864	1145	939	882	705	1021	1298	791	1030	688	1039	
NaN	729	789	NaN	NaN	361	1016	1080	NaN	1362	918	931	626	668	750	992	1402	745	1382	895	
NaN	565	424	NaN	NaN	322	813	492	NaN	807	843	576	498	498	617	643	1080	513	752	668	
NaN	386	501	NaN	NaN	256	599	378	NaN	899	758	692	416	416	565	794	903	547	932	716	
NaN	350	696	NaN	NaN	289	857	558	NaN	1121	1000	1011	687	454	795	761	842	696	743	898	
NaN	343	526	NaN	NaN	225	738	493	NaN	1178	831	849	593	356	1070	696	797	500	552	820	
NaN	394	592	NaN	NaN	371	516	369	NaN	899	666	777	590	469	2287	878	936	413	463	727	
NaN	276	482	NaN	NaN	284	411	332	NaN	691	554	560	413	249	1027	915	530	400	334	722	
NaN	158	333	NaN	NaN	NaN	525	341	NaN	504	506	479	508	322	610	713	406	732	211	706	
