1197	1482	509	613	576	845	1175	577	977	361	689	497	977	807	640	
1383	1989	491	848	575	1186	1058	800	1524	316	807	474	1142	768	911	
1596	1291	638	1004	699	1407	1227	643	1796	389	806	391	876	788	597	
1588	876	548	904	532	1092	1356	624	1371	462	696	345	814	579	595	
1653	1639	460	1150	651	1011	1613	532	1072	407	697	417	711	618	724	
1154	1610	559	991	831	1341	1585	825	1426	606	679	500	697	568	532	
873	1291	403	789	700	1080	1385	695	1073	565	823	0	729	452	745	
1241	1471	403	846	758	1226	1434	739	1242	403	1236	365	772	618	715	
2176	1794	445	678	470	1146	1304	682	1046	325	1251	438	827	716	1056	
1512	939	509	496	528	624	1822	447	719	160	731	181	724	545	735	
1709	1092	565	534	511	939	1803	426	1270	296	665	298	733	694	863	
1510	991	543	715	656	810	1376	647	1170	360	804	277	627	791	696	
1581	912	499	601	572	703	1174	773	1111	276	857	425	560	723	574	
1246	1053	459	791	525	805	1345	606	1048	345	1119	411	876	706	708	
1152	707	361	547	361	550	868	476	634	262	706	385	548	509	476	
1339	894	457	642	554	533	1117	582	1067	192	732	254	614	677	584	
