1039	NaN	923	NaN	NaN	1487	1136	810	1121	997	1109	278	741
921	NaN	657	NaN	NaN	774	555	634	859	903	797	398	668
1165	NaN	777	NaN	NaN	1018	706	622	1097	1211	615	436	727
976	NaN	928	NaN	NaN	805	863	722	1271	901	651	474	640
1100	NaN	961	NaN	NaN	1098	962	906	1365	1247	839	422	404
1087	NaN	882	NaN	NaN	955	927	1173	1572	1336	1444	413	476
1035	NaN	852	NaN	NaN	755	731	1045	1324	1058	1073	398	446
1125	NaN	862	NaN	NaN	740	831	1009	1337	1294	1548	438	496
909	NaN	736	NaN	NaN	755	734	1027	1017	1149	1342	493	452
703	NaN	639	NaN	NaN	503	528	723	913	1265	1008	314	275
691	NaN	558	NaN	NaN	462	450	606	605	592	472	288	260
686	NaN	600	NaN	NaN	766	574	640	799	698	722	344	463
880	NaN	739	NaN	NaN	684	682	647	981	1083	959	513	539
846	NaN	776	NaN	NaN	791	917	821	1005	1121	960	470	483
786	NaN	740	NaN	NaN	592	766	678	1017	1013	664	309	343
775	NaN	620	NaN	NaN	805	1020	900	1455	1230	819	333	318
