335	330	124	320	258	NaN	432	172	794	634	495	275	406	203	171	347	597	581	405
509	417	174	382	396	NaN	542	260	846	537	488	417	530	252	253	510	752	738	457
404	441	227	439	376	NaN	591	274	829	684	645	452	713	309	344	606	1192	747	590
316	395	341	413	327	NaN	584	291	801	699	628	539	751	417	343	646	1033	521	485
135	271	188	401	266	NaN	259	391	623	499	473	423	778	255	220	355	952	598	306
463	343	260	489	384	NaN	333	514	584	495	523	523	845	254	247	523	715	545	407
384	316	161	621	372	NaN	336	447	513	308	488	398	571	184	208	627	805	580	529
668	471	159	974	509	NaN	490	623	683	615	677	437	638	319	240	769	901	770	544
671	530	276	1208	688	NaN	521	551	644	607	636	403	676	411	266	771	954	787	565
995	546	286	1113	742	NaN	467	557	661	630	675	413	500	544	370	696	789	813	434
665	463	232	913	689	NaN	371	574	705	617	615	184	282	372	224	709	768	401	243
757	536	281	1099	775	NaN	346	518	872	699	601	385	600	524	333	770	882	503	398
765	738	301	881	810	NaN	371	351	725	606	605	374	466	503	351	841	1001	686	508
798	918	360	805	887	NaN	266	405	749	607	719	545	583	544	367	906	1005	696	648
697	648	200	653	652	NaN	175	301	551	513	516	290	348	396	273	733	738	405	303
825	678	163	607	658	NaN	168	192	497	431	478	311	419	434	237	783	679	430	346
