322	204	173	296	519	402	531	544	883	369	433	381	442	493	748	328	NaN	154	188	512	984	815	336	493	233	398
272	147	229	219	383	371	357	485	1212	289	339	291	333	479	888	281	NaN	138	208	434	1140	764	275	387	156	365
273	230	176	243	436	536	380	514	1640	304	390	255	293	472	961	290	NaN	121	176	488	1142	676	236	405	174	322
240	147	138	248	291	529	333	447	1187	386	250	164	328	397	695	233	NaN	103	125	514	855	724	249	369	209	349
242	149	201	355	362	474	443	473	1563	327	336	273	335	419	660	204	NaN	106	123	733	992	865	354	499	193	326
330	222	176	343	706	555	636	513	2015	368	534	408	436	479	905	283	NaN	148	171	1349	1113	1409	420	661	205	370
336	235	129	389	598	652	601	627	1871	552	493	334	450	564	897	341	NaN	147	165	1247	989	1014	345	525	229	387
421	219	134	407	504	541	809	699	1658	519	475	352	524	590	930	554	NaN	130	139	1034	1057	1159	384	886	184	401
348	258	194	384	942	508	610	821	1515	509	710	742	478	912	1073	551	NaN	214	172	1252	1023	1082	278	968	178	355
187	170	155	406	729	326	446	690	1116	306	439	458	316	540	688	351	NaN	120	69	1010	875	820	254	481	115	72
162	148	283	442	1098	545	376	721	796	303	583	425	303	488	838	408	NaN	199	226	855	850	1046	215	365	87	378
124	178	313	430	912	413	381	560	736	320	442	383	301	512	885	437	NaN	0	111	955	943	888	179	334	87	377
152	198	273	379	689	391	267	519	627	229	373	284	357	474	686	354	NaN	186	146	946	674	776	237	320	136	234
195	199	214	366	503	507	357	656	668	346	440	284	418	493	608	297	NaN	163	224	1034	699	1105	305	447	181	297
136	145	164	289	486	299	291	531	604	357	381	307	335	517	533	207	NaN	133	168	922	872	961	286	279	177	296
46	35	76	229	230	298	271	436	587	274	406	315	284	346	488	0	NaN	18	129	712	614	920	119	194	105	202
