322	550	257	NaN	1039	312	1197	485	335	1039
204	292	841	514	NaN	1170	1482	478	330	1004
173	592	718	613	923	431	509	764	124	561
296	234	408	NaN	NaN	601	613	452	320	658
519	484	524	NaN	NaN	601	576	688	258	862
402	360	255	308	1487	1776	845	484	NaN	779
531	370	888	658	1136	537	1175	NaN	432	741
544	978	728	888	810	919	577	NaN	172	663
883	486	782	NaN	1121	881	977	425	794	2034
369	428	435	932	997	1266	361	365	634	1630
433	1040	502	684	1109	558	689	588	495	923
381	1680	346	1303	278	739	497	751	275	474
272	516	312	NaN	921	322	1383	566	509	848
147	243	816	500	NaN	994	1989	578	417	737
229	540	864	651	657	386	491	677	174	578
219	260	447	NaN	NaN	453	848	459	382	795
383	588	674	NaN	NaN	563	575	767	396	789
371	294	351	277	774	1768	1186	461	NaN	666
357	434	920	700	555	646	1058	NaN	542	460
485	848	709	684	634	748	800	NaN	260	540
1212	496	700	NaN	859	792	1524	522	846	1374
289	438	250	706	903	1240	316	339	537	1324
339	1270	366	895	797	475	807	686	488	952
291	1336	530	770	398	489	474	853	417	553
273	634	435	NaN	1165	323	1596	485	404	849
230	281	1376	521	NaN	998	1291	537	441	701
176	740	1157	930	777	392	638	720	227	501
243	334	503	NaN	NaN	386	1004	507	439	688
436	796	581	NaN	NaN	463	699	606	376	921
536	348	490	408	1018	1728	1407	446	NaN	755
380	550	1257	976	706	662	1227	NaN	591	547
514	808	691	824	622	696	643	NaN	274	609
1640	584	704	NaN	1097	698	1796	456	829	1559
304	496	331	993	1211	1246	389	344	684	1334
390	1308	410	932	615	440	806	904	645	1192
255	1620	556	847	436	809	391	941	452	460
240	540	361	NaN	976	296	1588	394	316	629
147	433	1336	563	NaN	994	876	526	395	466
138	588	773	745	928	394	548	818	341	548
248	340	534	NaN	NaN	393	904	572	413	678
291	712	502	NaN	NaN	420	532	411	327	915
529	418	436	281	805	1810	1092	355	NaN	714
333	440	1645	831	863	628	1356	NaN	584	395
447	646	633	939	722	1045	624	NaN	291	682
1187	502	533	NaN	1271	703	1371	460	801	1335
386	564	468	914	901	1065	462	260	699	1349
250	1456	458	871	651	610	696	904	628	1258
164	1334	569	875	474	995	345	922	539	592
242	522	281	NaN	1100	360	1653	406	135	656
149	309	1097	520	NaN	826	1639	519	271	608
201	456	590	676	961	490	460	845	188	507
355	216	464	NaN	NaN	355	1150	588	401	717
362	938	357	NaN	NaN	500	651	529	266	721
474	406	363	307	1098	1223	1011	483	NaN	897
443	504	1177	804	962	651	1613	NaN	259	436
473	978	365	990	906	1217	532	NaN	391	691
1563	614	368	NaN	1365	757	1072	455	623	1710
327	708	366	1758	1247	1185	407	322	499	1378
336	1626	376	729	839	570	697	1219	473	1216
273	1728	414	684	422	738	417	1132	423	498
330	632	453	NaN	1087	316	1154	437	463	733
222	385	1385	522	NaN	765	1610	505	343	658
176	598	685	801	882	459	559	857	260	550
343	308	563	NaN	NaN	376	991	526	489	684
706	924	467	NaN	NaN	378	831	413	384	577
555	458	375	337	955	1172	1341	362	NaN	864
636	608	1343	799	927	666	1585	NaN	333	400
513	1042	447	1056	1173	980	825	NaN	514	646
2015	660	377	NaN	1572	959	1426	414	584	1430
368	684	571	2255	1336	1012	606	307	495	1534
534	1518	512	745	1444	793	679	899	523	1761
408	2972	636	866	413	1046	500	994	523	530
336	698	410	NaN	1035	286	873	392	384	851
235	446	1154	482	NaN	1071	1291	401	316	532
129	632	705	959	852	547	403	689	161	442
389	342	465	NaN	NaN	329	789	409	621	508
598	786	364	NaN	NaN	421	700	399	372	701
652	432	361	311	755	1378	1080	392	NaN	787
601	602	1151	977	731	614	1385	NaN	336	309
627	1110	532	936	1045	894	695	NaN	447	582
1871	550	391	NaN	1324	845	1073	349	513	1166
552	636	586	1849	1058	881	565	228	308	1365
493	1452	503	1051	1073	695	823	586	488	1615
334	2502	709	777	398	1080	0	700	398	449
421	568	498	NaN	1125	248	1241	421	668	762
219	408	1567	452	NaN	985	1471	370	471	473
134	634	832	980	862	611	403	839	159	487
407	326	512	NaN	NaN	305	846	490	974	530
504	874	410	NaN	NaN	431	758	554	509	817
541	434	348	313	740	1361	1226	511	NaN	875
809	704	708	1229	831	627	1434	NaN	490	352
699	1172	561	819	1009	919	739	NaN	623	455
1658	606	352	NaN	1337	689	1242	485	683	1220
519	690	563	1864	1294	879	403	321	615	1275
475	1510	601	1145	1548	684	1236	608	677	1681
352	2108	644	939	438	746	365	741	437	505
348	462	484	NaN	909	331	2176	423	671	458
258	528	1474	729	NaN	659	1794	399	530	520
194	708	684	789	736	568	445	741	276	339
384	464	497	NaN	NaN	396	678	481	1208	448
942	814	368	NaN	NaN	394	470	539	688	764
508	480	316	361	755	1354	1146	529	NaN	762
610	816	797	1016	734	598	1304	NaN	521	383
821	1220	456	1080	1027	614	682	NaN	551	382
1515	662	317	NaN	1017	658	1046	474	644	756
509	684	772	1362	1149	759	325	331	607	1458
710	1150	574	918	1342	508	1251	581	636	1224
742	1762	555	931	493	614	438	721	403	511
187	658	324	NaN	703	233	1512	391	995	376
170	399	1651	565	NaN	707	939	430	546	473
155	556	632	424	639	338	509	770	286	378
406	400	527	NaN	NaN	370	496	478	1113	430
729	592	313	NaN	NaN	258	528	406	742	793
326	310	276	322	503	1143	624	392	NaN	746
446	734	776	813	528	580	1822	NaN	467	480
690	1018	308	492	723	667	447	NaN	557	329
1116	658	219	NaN	913	583	719	310	661	673
306	652	730	807	1265	729	160	194	630	1416
439	1188	346	843	1008	497	731	839	675	902
458	908	470	576	314	371	181	827	413	492
162	678	285	NaN	691	227	1709	352	665	365
148	465	1227	386	NaN	598	1092	395	463	397
283	630	500	501	558	0	565	862	232	345
442	360	462	NaN	NaN	284	534	549	913	435
1098	660	264	NaN	NaN	214	511	462	689	621
545	294	177	256	462	1124	939	463	NaN	530
376	700	704	599	450	268	1803	NaN	371	329
721	822	204	378	606	654	426	NaN	574	310
796	494	163	NaN	605	505	1270	401	705	600
303	598	751	899	592	537	296	251	617	1175
583	1424	269	758	472	415	665	546	615	708
425	1612	402	692	288	519	298	644	184	358
124	630	333	NaN	686	308	1510	475	757	552
178	522	1244	350	NaN	582	991	481	536	588
313	896	406	696	600	183	543	865	281	520
430	570	507	NaN	NaN	278	715	518	1099	595
912	842	274	NaN	NaN	593	656	573	775	846
413	368	248	289	766	1039	810	575	NaN	574
381	784	663	857	574	428	1376	NaN	346	332
560	1234	218	558	640	710	647	NaN	518	494
736	534	174	NaN	799	548	1170	448	872	913
320	710	1025	1121	698	570	360	231	699	1243
442	1564	280	1000	722	554	804	829	601	951
383	2300	538	1011	344	455	277	790	385	488
152	600	299	NaN	880	362	1581	336	765	588
198	543	1494	343	NaN	774	912	341	738	561
273	708	525	526	739	232	499	814	301	533
379	590	501	NaN	NaN	272	601	406	881	578
689	758	323	NaN	NaN	558	572	403	810	721
391	246	282	225	684	1072	703	407	NaN	604
267	622	707	738	682	555	1174	NaN	371	380
519	1032	206	493	647	724	773	NaN	351	546
627	512	126	NaN	981	667	1111	400	725	1012
229	622	981	1178	1083	743	276	270	606	1271
373	1216	204	831	959	542	857	659	605	919
284	1878	417	849	513	912	425	646	374	460
195	476	259	NaN	846	467	1246	574	798	529
199	458	1222	394	NaN	854	1053	438	918	545
214	528	379	592	776	192	459	801	360	513
366	386	485	NaN	NaN	332	791	479	805	504
503	1032	201	NaN	NaN	635	525	379	887	971
507	56	330	371	791	1124	805	469	NaN	616
357	610	619	516	917	710	1345	NaN	266	481
656	1010	170	369	821	826	606	NaN	405	573
668	506	149	NaN	1005	850	1048	444	749	1057
346	594	1027	899	1121	823	345	307	607	1951
440	670	176	666	960	626	1119	744	719	991
284	1480	448	777	470	1199	411	802	545	498
136	372	285	NaN	786	387	1152	325	697	274
145	331	1096	276	NaN	836	707	352	648	536
164	458	291	482	740	302	361	536	200	166
