257	841	718	408	524	255	888	728	782	435	502	346	542	720	285	171	273	707	359	209	NaN	NaN
312	816	864	447	674	351	920	709	700	250	366	530	746	743	207	222	202	581	477	207	NaN	NaN
435	1376	1157	503	581	490	1257	691	704	331	410	556	887	913	388	245	224	799	696	268	NaN	NaN
361	1336	773	534	502	436	1645	633	533	468	458	569	1018	622	560	238	203	591	539	295	NaN	NaN
281	1097	590	464	357	363	1177	365	368	366	376	414	914	501	486	224	152	403	433	284	NaN	NaN
453	1385	685	563	467	375	1343	447	377	571	512	636	1495	555	691	220	189	534	442	301	NaN	NaN
410	1154	705	465	364	361	1151	532	391	586	503	709	1395	706	676	139	216	556	533	256	NaN	NaN
498	1567	832	512	410	348	708	561	352	563	601	644	1338	1119	653	229	163	496	694	230	NaN	NaN
484	1474	684	497	368	316	797	456	317	772	574	555	1040	986	604	151	221	416	615	217	NaN	NaN
324	1651	632	527	313	276	776	308	219	730	346	470	693	729	394	178	176	254	330	165	NaN	NaN
285	1227	500	462	264	177	704	204	163	751	269	402	722	723	341	131	159	256	282	139	NaN	NaN
333	1244	406	507	274	248	663	218	174	1025	280	538	598	1118	282	146	213	252	329	177	NaN	NaN
299	1494	525	501	323	282	707	206	126	981	204	417	575	927	313	44	254	414	360	235	NaN	NaN
259	1222	379	485	201	330	619	170	149	1027	176	448	540	610	264	169	172	341	304	214	NaN	NaN
285	1096	291	542	228	262	590	109	162	1061	123	521	619	462	235	110	179	301	290	200	NaN	NaN
218	887	157	400	102	140	430	72	60	634	29	482	362	475	63	125	156	218	157	124	NaN	NaN
